analysis_region_id	fst_comparison	contig	analysis_start	analysis_end	analysis_length_bp	detection_class	source_candidate_ids_HAP	source_candidate_ids_DIP	source_intervals_HAP	source_intervals_DIP
HR_00001	QCZ-RIT	contig23	32846	44629	11784	DIP_only	NA	PB_00047	NA	PB_00047=32846-44629
HR_00002	LLI-CVG	contig1	372993	407051	34059	HAP_only	PB_00061	NA	PB_00061=372993-407051	NA
HR_00003	LLI-CVG	contig7	208507	226349	17843	HAP_only	PB_00062	NA	PB_00062=208507-226349	NA
HR_00004	LLI-CVG	contig7	283404	295941	12538	HAP_only	PB_00063	NA	PB_00063=283404-295941	NA
HR_00005	LLI-CVG	contig67	373017	387582	14566	HAP_only	PB_00065	NA	PB_00065=373017-387582	NA
HR_00006	LLI-CVG	contig74	594218	615455	21238	HAP_only	PB_00066	NA	PB_00066=594218-615455	NA
HR_00007	LLI-CVG	contig78	221461	235159	13699	DIP_only	NA	PB_00005	NA	PB_00005=221461-235159
HR_00008	LLI-CVG	contig88	75343	86331	10989	HAP_only	PB_00067	NA	PB_00067=75343-86331	NA
HR_00009	LLI-CVG	contig101	44105	59824	15720	HAP_only	PB_00068	NA	PB_00068=44105-59824	NA
HR_00010	LLI-CVG	contig104	604833	625368	20536	HAP_only	PB_00069	NA	PB_00069=604833-625368	NA
HR_00011	LLI-CVG	contig115	9420	21322	11903	DIP_only	NA	PB_00009	NA	PB_00009=9420-21322
HR_00012	LLI-CVG	contig115	44107	62141	18035	DIP_only	NA	PB_00010	NA	PB_00010=44107-62141
HR_00013	LLI-CVG	contig148	155761	181082	25322	DIP_only	NA	PB_00014	NA	PB_00014=155761-181082
HR_00014	LLI-CVG	contig165	288333	299047	10715	HAP_only	PB_00070	NA	PB_00070=288333-299047	NA
HR_00015	LLI-CVG	contig165	327093	340943	13851	HAP_only	PB_00071	NA	PB_00071=327093-340943	NA
HR_00016	LLI-CVG	contig204	25164	40144	14981	HAP_only	PB_00072	NA	PB_00072=25164-40144	NA
HR_00017	LLI-CVG	contig230	163450	193588	30139	HAP_and_DIP	PB_00073	PB_00017	PB_00073=165576-190714	PB_00017=163450-193588
HR_00018	LLI-CVG	contig236	78901	91840	12940	HAP_only	PB_00074	NA	PB_00074=78901-91840	NA
HR_00019	LIL-LOB	contig37	182203	199816	17614	HAP_only	PB_00048	NA	PB_00048=182203-199816	NA
HR_00020	LIL-LOB	contig50	214129	227839	13711	HAP_only	PB_00051	NA	PB_00051=214129-227839	NA
HR_00021	LIL-LOB	contig62	162517	183680	21164	HAP_and_DIP	PB_00053	PB_00030	PB_00053=162517-178202	PB_00030=169811-183680
HR_00022	LIL-LOB	contig67	84217	105145	20929	DIP_only	NA	PB_00031	NA	PB_00031=84217-105145
HR_00023	LIL-LOB	contig78	223748	235159	11412	HAP_and_DIP	PB_00054	PB_00032	PB_00054=223748-235159	PB_00032=223748-235159
HR_00024	LIL-LOB	contig104	134854	152429	17576	DIP_only	NA	PB_00035	NA	PB_00035=134854-152429
HR_00025	LIL-LOB	contig186	571824	593314	21491	HAP_and_DIP	PB_00057	PB_00037	PB_00057=571824-593314	PB_00037=578239-593314
HR_00026	LIL-LOB	contig195	297409	317870	20462	HAP_only	PB_00058	NA	PB_00058=297409-317870	NA
HR_00027	LIL-LOB	contig246	88210	98667	10458	DIP_only	NA	PB_00042	NA	PB_00042=88210-98667
HR_00028	LIL-LOB	contig328	45554	67566	22013	HAP_and_DIP	PB_00059	PB_00043	PB_00059=45554-67566	PB_00043=45583-67566
HR_00029	LIL-LOB	contig328	81341	92356	11016	HAP_and_DIP	PB_00060	PB_00044	PB_00060=81341-92225	PB_00044=81341-92356
